a,69587
man,8296
in,18984
street,972
racer,66
armor,2
be,13268
examine,22
the,10725
tire,125
of,6723
another,956
is,421
motorbike,46
two,5640
drive,147
white,3959
bike,982
down,1841
road,399
motorist,1
ride,1638
along,527
on,10747
their,693
vehicle,101
that,397
oddly,2
design,6
and,8866
color,58
person,3973
small,1345
race,657
car,494
by,1249
green,1235
hill,478
uniform,385
firefighter,10
extinguish,3
fire,124
under,246
hood,40
fireman,9
spray,94
water,2821
into,1074
jack,18
inside,174
open,222
use,104
firehose,2
engine,5
up,1277
carjack,1
to,3177
boy,4247
sand,468
surf,207
attempt,130
make,343
sunny,66
day,139
slide,515
huge,94
dune,34
young,2673
short,449
t,166
shirt,2092
snowboard,154
bright,156
blue,2280
sky,159
kid,523
play,3301
tub,13
full,67
outside,791
hot,29
three,1389
sit,2302
big,290
container,13
fill,53
with,7765
little,1768
outdoors,175
child,2701
squeeze,10
plastic,131
take,488
bath,15
rubber,26
bin,7
grass,1625
over,1414
structure,82
snowy,422
snowboarder,250
jump,2885
through,2051
air,1062
wear,3230
pants,257
do,719
trick,486
high,298
bench,394
someone,161
yellow,1218
ramp,328
snow,1554
perform,322
baseball,298
batter,9
raise,89
his,2357
arm,395
player,1021
from,920
new,17
york,8
wait,206
bat,101
during,174
game,373
yankee,3
hold,1949
one,1221
hand,604
warm,23
bare,30
backed,1
climber,152
attach,57
rock,1022
face,615
pink,739
safety,32
rope,291
lone,82
harness,95
climb,801
wall,575
crawl,39
no,87
steep,62
cliff,202
competitive,4
motorcycle,279
prepare,92
left,72
turn,136
paved,41
number,124
5,19
it,401
driver,32
swerve,2
five,161
front,1385
rider,217
red,2687
helmet,396
professional,30
corner,63
dress,990
orange,745
gear,117
right,96
motorcyclist,71
speed,49
lean,183
sharp,21
crouch,57
low,67
as,868
he,209
round,58
this,142
sponsored,7
roadway,5
have,683
recently,7
iguana,1
wrestle,124
rocky,245
bank,41
reptile,1
stand,3178
back,421
leg,190
near,1030
deep,89
lizard,3
fight,214
oriental,13
for,952
dominance,1
pond,96
boxer,26
punch,16
fighter,6
kick,223
while,1968
other,773
block,87
kickboxer,1
ring,87
kickbox,1
football,485
pause,12
jersey,140
4,20
greenbay,1
towel,24
field,1289
bay,15
packer,2
cool,3
off,766
cloth,32
mud,115
puddle,97
middle,160
park,619
lot,128
smile,762
jacket,746
boot,69
joy,9
rain,53
storm,10
at,2916
beach,1047
coat,299
pavement,48
body,194
background,596
mountain,760
cover,357
skier,215
rapidly,2
descend,26
coast,4
side,329
go,299
fresh,4
sun,110
shine,16
above,228
tree,688
black,3848
hoodie,35
jean,251
skateboard,603
railing,125
next,749
some,627
step,195
brick,177
rail,112
walk,2038
set,207
handrail,35
without,28
ski,297
barrel,25
catch,629
area,399
recoil,3
an,2578
action,25
treated,1
watch,794
others,171
spring,8
mound,34
philadelphia,1
phillie,1
pitcher,21
behind,633
him,403
just,48
throw,285
ball,1849
fetch,67
or,87
her,1180
pole,211
trail,159
toward,146
backpack,198
accends,1
covered,82
slope,86
goalie,44
try,310
soccer,580
group,1223
guy,289
footballer,17
scramble,6
around,648
goal,85
keeper,2
reach,110
four,501
post,28
score,14
3,18
prevent,3
team,244
converge,2
even,10
silhouette,35
pile,84
fly,318
drift,6
colorful,238
parka,12
rally,13
pull,217
away,170
spectator,57
track,320
both,83
look,1520
zoom,3
onlooker,55
dirt,591
course,135
fan,34
path,325
desert,55
six,76
nowhere,1
them,260
very,163
tall,149
bicyclist,88
between,125
wire,43
fence,354
cyclist,98
country,36
pass,81
electricity,1
pylon,3
biker,202
across,476
dry,85
land,76
girl,4169
scarf,111
bellbottoms,2
woman,4055
boa,6
bicycle,475
pedestrian,17
bridge,142
bag,215
silver,67
building,582
lady,269
hit,157
tennis,429
racket,53
swing,652
about,152
racquet,24
hat,771
miami,26
forehand,1
basketball,399
duke,2
there,304
something,346
upward,7
motocross,50
bar,152
camera,713
film,14
stunt,96
videotape,9
stair,123
staircase,38
skateboarder,326
board,164
flight,43
sail,30
wood,284
dirtbikes,2
muddy,81
afro,3
skate,200
vert,2
midair,210
launch,16
quarter,6
pipe,43
furocious,1
female,119
outfit,223
return,19
match,43
parasails,5
wave,511
large,1273
wind,27
windsurf,11
ocean,463
crest,6
windsurfer,11
brown,2578
ollie,6
shot,63
below,55
concrete,119
plaid,49
its,925
distorted,7
lens,7
almost,24
fish,177
eye,125
teenage,72
balance,81
leave,60
together,413
glove,63
shoe,108
twelve,1
member,34
diamond,1
put,95
rear,18
wheel,82
wheelie,37
whilst,152
practice,44
judo,1
mat,27
martial,37
art,65
people,461
train,144
hall,9
karate,28
move,84
52,2
crotch,1
rocket,10
racetrack,52
boat,319
past,149
rise,14
sailboat,11
sunrise,4
ship,22
sea,31
old,400
sunset,94
get,342
handlebar,13
onto,211
mostly,17
res,1
slightly,16
narrow,17
cricketer,3
lay,271
ground,359
wicket,2
lie,146
laugh,158
cricket,44
closely,5
inspect,9
miss,11
batsman,5
clothes,135
ready,128
distance,109
104,2
bend,78
picture,485
who,216
roadside,4
curve,26
mark,25
dust,23
advertise,29
banner,27
male,129
global,1
fast,53
nearby,153
splash,274
wet,180
approach,35
emit,4
smoke,134
travel,35
striped,215
ribbon,34
slippery,2
darked,1
skinned,30
palm,21
break,63
dance,266
himself,34
i,17
store,119
table,278
appear,51
fall,220
court,80
grab,51
out,762
frame,36
floor,162
struggle,17
gain,3
possession,7
school,47
cross,108
finish,10
line,198
observe,25
crowd,548
blow,126
several,314
screech,1
spin,52
stock,3
come,124
topless,21
help,77
shirtless,104
dog,10263
nip,7
feet,87
cow,72
pounce,12
run,3378
after,184
bull,71
rural,45
lift,59
drag,26
hang,260
pulley,6
toy,631
equipment,86
playground,201
rush,12
night,158
lap,45
shore,170
close,73
horse,325
kneel,65
rodeo,35
contestent,1
drug,2
cowboy,66
buck,10
purple,312
top,505
skirt,103
prepairing,1
serve,18
tank,77
extend,13
she,93
handed,5
backhand,2
gray,407
pop,23
parkinglot,1
countryside,14
airborne,75
bmx,77
gas,8
station,35
explosion,6
occur,1
leap,378
flame,21
pump,8
engulf,4
dark,269
haired,183
skinny,18
sidewalk,375
flower,218
head,436
trample,2
shield,3
whoa,1
underneath,31
hoof,2
closeup,78
long,298
electric,15
guitar,177
onstage,41
blond,395
hair,414
flyaway,1
ice,224
stack,8
artist,19
foot,44
ledge,78
fountain,195
outdoor,137
edge,172
city,319
acrobatic,5
entertainer,2
midget,2
bowler,6
union,6
underwear,12
acrobatics,2
scantily,6
clothe,15
trunk,121
crowded,67
athlete,24
herself,20
vault,11
vaulter,1
upside,109
rollerblade,61
rollerblader,23
grind,62
metal,115
sport,101
referee,32
men,101
rugby,64
amidst,16
teammate,21
effort,3
all,140
progress,10
ollies,4
beard,70
complete,12
gather,128
plank,11
skater,38
cows,1
hundred,4
partake,1
chase,342
runner,57
nose,101
specialized,3
suit,309
start,34
seat,121
stadium,42
recieving,2
american,100
pressure,1
payer,1
before,44
each,430
vie,2
hind,58
bark,45
shadow,41
wooded,101
tag,24
second,16
base,55
fielder,1
defend,13
towards,247
deck,40
wooden,284
shoot,72
basket,38
camouflage,30
hummer,3
roof,17
jeep,40
bmw,3
don,3
lead,63
pack,45
column,10
cycle,13
compete,51
against,201
incoming,5
crash,42
parachute,46
parasailer,4
surface,66
lake,333
skip,13
aerial,13
forest,162
pine,23
position,17
flip,136
wild,13
surfer,209
wetsuit,85
surfung,1
foamy,3
medium,27
fasten,2
tow,17
become,6
waterskis,4
wakeboarder,12
horizon,14
navigate,12
way,53
tangled,1
root,3
view,90
multiple,14
skydive,2
show,159
diving,1
they,121
jumper,15
earth,5
skydiver,5
formation,42
curb,24
boundary,3
stone,137
graffiti,73
lip,22
budweiser,2
accelerates,1
quick,31
dragster,4
photograph,73
sprint,16
speedway,1
spew,1
headband,52
sundown,4
dusk,25
sideline,12
execute,4
part,22
competition,53
obstacle,134
volleyball,60
net,63
beijing,1
olympics,3
logo,12
visible,14
skimpy,12
gentleman,17
cloud,48
overhead,11
trip,7
feed,31
strawberry,5
turtle,4
tortoise,2
eat,224
berry,1
25,3
half,43
